species,taxon,tier,train_count,p_true,rank,top1,top5,argmax_label
platyr1,Aves,low,36,0.33744382858276367,2,0,1,brcmar1
shtnig1,Aves,common,163,0.651422381401062,1,1,1,shtnig1
shcfly1,Aves,common,223,0.641157865524292,1,1,1,shcfly1
shcfly1,Aves,common,223,0.2775745391845703,1,1,1,shcfly1
shcfly1,Aves,common,223,0.9368197917938232,1,1,1,shcfly1
whbwar2,Aves,common,243,0.8494764566421509,1,1,1,whbwar2
rivwar1,Aves,common,100,0.7664266228675842,1,1,1,rivwar1
rumfly1,Aves,common,247,0.46692055463790894,1,1,1,rumfly1
socfly1,Aves,common,494,0.8680433034896851,1,1,1,socfly1
osprey,Aves,common,495,0.3199300467967987,1,1,1,osprey
yebcar,Aves,low,27,0.009349534288048744,39,0,0,saffin
yebcar,Aves,low,27,0.2822335362434387,1,1,1,yebcar
yebcar,Aves,low,27,0.10039546340703964,2,0,1,grasal3
scther1,Aves,common,103,0.3593364357948303,1,1,1,scther1
scther1,Aves,common,103,0.7676826119422913,1,1,1,scther1
squcuc1,Aves,common,432,0.2101801633834839,1,1,1,squcuc1
whwpic1,Aves,common,83,0.7263598442077637,1,1,1,whwpic1
whwpic1,Aves,common,83,0.5867769122123718,1,1,1,whwpic1
schpar1,Aves,common,145,0.6324037313461304,1,1,1,schpar1
schpar1,Aves,common,145,0.4593958556652069,1,1,1,schpar1
ruftof1,Aves,common,98,0.7505813241004944,1,1,1,ruftof1
yecmac,Aves,low,46,0.5921075344085693,1,1,1,yecmac
wesfie1,Aves,common,136,0.21145625412464142,4,0,1,bncfly
toctou1,Aves,common,148,0.7609737515449524,1,1,1,toctou1
toctou1,Aves,common,148,0.7839421033859253,1,1,1,toctou1
roahaw,Aves,common,489,0.927903413772583,1,1,1,roahaw
saffin,Aves,common,479,0.8078666925430298,1,1,1,saffin
saffin,Aves,common,479,0.009673081338405609,9,0,0,paltan1
pabspi1,Aves,common,316,0.5282179117202759,1,1,1,pabspi1
pabspi1,Aves,common,316,0.8404045104980469,1,1,1,pabspi1
whlspi1,Aves,common,59,0.7027688026428223,1,1,1,whlspi1
sofspi1,Aves,common,437,0.801171064376831,1,1,1,sofspi1
sofspi1,Aves,common,437,0.024436013773083687,12,0,0,sobtyr1
spispi1,Aves,common,239,0.8878096342086792,1,1,1,spispi1
varant1,Aves,common,291,0.14585110545158386,6,0,0,picpig2
plasla1,Aves,common,120,0.5896340608596802,2,0,1,scadov1
plasla1,Aves,common,120,0.5092614889144897,1,1,1,plasla1
plasla1,Aves,common,120,0.2971912622451782,3,0,1,flawar1
paltan1,Aves,common,247,0.647889256477356,1,1,1,paltan1
saytan1,Aves,common,278,0.5678564310073853,1,1,1,saytan1
saytan1,Aves,common,278,0.8010936379432678,1,1,1,saytan1
yeofly1,Aves,common,493,0.6727069616317749,1,1,1,yeofly1
yeofly1,Aves,common,493,0.6779013872146606,1,1,1,yeofly1
soulap1,Aves,common,497,0.7272348403930664,1,1,1,soulap1
soulap1,Aves,common,497,0.755955696105957,1,1,1,soulap1
64898,Amphibia,very_rare,3,0.0008552589570172131,194,0,0,65380
64898,Amphibia,very_rare,3,0.0015077445423230529,168,0,0,fotfly
555145,Amphibia,rare,9,0.42784154415130615,1,1,1,555145
555145,Amphibia,rare,9,0.5434969663619995,1,1,1,555145
555145,Amphibia,rare,9,0.46837979555130005,1,1,1,555145
555145,Amphibia,rare,9,0.40915343165397644,1,1,1,555145
555145,Amphibia,rare,9,0.01994425430893898,25,0,0,65380
555146,Amphibia,rare,18,0.0927673876285553,5,0,1,whtdov
555146,Amphibia,rare,18,0.022025393322110176,14,0,0,hyamac1
74113,Mammalia,rare,10,0.03633630648255348,4,0,1,baymac
47144,Mammalia,low,43,0.4545378088951111,1,1,1,47144
47144,Mammalia,low,43,0.13341523706912994,1,1,1,47144
65377,Amphibia,low,46,0.4815232753753662,1,1,1,65377
65380,Amphibia,low,23,0.35196834802627563,2,0,1,toctou1
25092,Amphibia,low,26,0.03736518695950508,7,0,0,24321
209233,Mammalia,very_rare,2,0.007622856646776199,53,0,0,limpki
22973,Amphibia,common,63,0.5956604480743408,1,1,1,22973
22985,Amphibia,rare,6,0.20354099571704865,2,0,1,yeofly1
22985,Amphibia,rare,6,0.10453066229820251,6,0,0,bncfly
22985,Amphibia,rare,6,0.21343906223773956,1,1,1,22985
22961,Amphibia,rare,6,0.020269624888896942,6,0,0,greani1
74580,Mammalia,very_rare,3,0.3720077574253082,1,1,1,74580
23158,Amphibia,low,25,0.3254477381706238,1,1,1,23158
23158,Amphibia,low,25,0.21731379628181458,3,0,1,24321
23158,Amphibia,low,25,0.4423081874847412,2,0,1,24321
67252,Amphibia,rare,6,0.012237980961799622,30,0,0,limpki
67252,Amphibia,rare,6,0.00267354235984385,148,0,0,24279
67252,Amphibia,rare,6,0.0010530207073315978,185,0,0,limpki
67252,Amphibia,rare,6,0.0006836508400738239,199,0,0,limpki
67252,Amphibia,rare,6,0.000768121040891856,202,0,0,limpki
