inat_category_id,scientific_name,birdclef_primary_label,class_name,inat_class,audio_dir_name,n_audio
4964,Ara ararauna,baymac,Aves,Aves,04964_Animalia_Chordata_Aves_Psittaciformes_Psittacidae_Ara_ararauna,4
4965,Ara chloropterus,ragmac1,Aves,Aves,04965_Animalia_Chordata_Aves_Psittaciformes_Psittacidae_Ara_chloropterus,3
2253,Aramides cajaneus,gycwor1,Aves,Aves,02253_Animalia_Chordata_Aves_Gruiformes_Rallidae_Aramides_cajaneus,37
2256,Aramides ypecaha,giwrai1,Aves,Aves,02256_Animalia_Chordata_Aves_Gruiformes_Rallidae_Aramides_ypecaha,10
2236,Aramus guarauna,limpki,Aves,Aves,02236_Animalia_Chordata_Aves_Gruiformes_Aramidae_Aramus_guarauna,41
4971,Aratinga nenday,bkhpar,Aves,Aves,04971_Animalia_Chordata_Aves_Psittaciformes_Psittacidae_Aratinga_nenday,11
3552,Arremon flavirostris,sabspa1,Aves,Aves,03552_Animalia_Chordata_Aves_Passeriformes_Passerellidae_Arremon_flavirostris,5
5075,Asio clamator,strowl1,Aves,Aves,05075_Animalia_Chordata_Aves_Strigiformes_Strigidae_Asio_clamator,9
5080,Athene cunicularia,burowl,Aves,Aves,05080_Animalia_Chordata_Aves_Strigiformes_Strigidae_Athene_cunicularia,28
3960,Biatas nigropectus,whbant2,Aves,Aves,03960_Animalia_Chordata_Aves_Passeriformes_Thamnophilidae_Biatas_nigropectus,3
4973,Brotogeris chiriri,yecpar,Aves,Aves,04973_Animalia_Chordata_Aves_Psittaciformes_Psittacidae_Brotogeris_chiriri,17
4717,Butorides striata,strher2,Aves,Aves,04717_Animalia_Chordata_Aves_Pelecaniformes_Ardeidae_Butorides_striata,4
2996,Cacicus solitarius,sobcac1,Aves,Aves,02996_Animalia_Chordata_Aves_Passeriformes_Icteridae_Cacicus_solitarius,9
4455,Camptostoma obsoletum,sobtyr1,Aves,Aves,04455_Animalia_Chordata_Aves_Passeriformes_Tyrannidae_Camptostoma_obsoletum,31
2783,Campylorhamphus trochilirostris,rebscy1,Aves,Aves,02783_Animalia_Chordata_Aves_Passeriformes_Furnariidae_Campylorhamphus_trochilirostris,4
4317,Campylorhynchus turdinus,thlwre1,Aves,Aves,04317_Animalia_Chordata_Aves_Passeriformes_Troglodytidae_Campylorhynchus_turdinus,10
4320,Cantorchilus guarayanus,fabwre1,Aves,Aves,04320_Animalia_Chordata_Aves_Passeriformes_Troglodytidae_Cantorchilus_guarayanus,1
2078,Caracara plancus,y00678,Aves,Aves,02078_Animalia_Chordata_Aves_Falconiformes_Falconidae_Caracara_plancus,16
1714,Cariama cristata,relser1,Aves,Aves,01714_Animalia_Chordata_Aves_Cariamiformes_Cariamidae_Cariama_cristata,5
3965,Cercomacra melanaria,magant1,Aves,Aves,03965_Animalia_Chordata_Aves_Passeriformes_Thamnophilidae_Cercomacra_melanaria,1
1546,Chauna torquata,souscr1,Aves,Aves,01546_Animalia_Chordata_Aves_Anseriformes_Anhimidae_Chauna_torquata,6
1656,Chionomesa fimbriata,glteme1,Aves,Aves,01656_Animalia_Chordata_Aves_Caprimulgiformes_Trochilidae_Chionomesa_fimbriata,2
3701,Chiroxiphia caudata,swtman1,Aves,Aves,03701_Animalia_Chordata_Aves_Passeriformes_Pipridae_Chiroxiphia_caudata,22
4124,Cissopis leverianus,magtan2,Aves,Aves,04124_Animalia_Chordata_Aves_Passeriformes_Thraupidae_Cissopis_leverianus,2
4457,Cnemotriccus fuscatus,fusfly1,Aves,Aves,04457_Animalia_Chordata_Aves_Passeriformes_Tyrannidae_Cnemotriccus_fuscatus,7
2039,Coccycua minuta,litcuc2,Aves,Aves,02039_Animalia_Chordata_Aves_Cuculiformes_Cuculidae_Coccycua_minuta,2
4126,Coereba flaveola,banana,Aves,Aves,04126_Animalia_Chordata_Aves_Passeriformes_Thraupidae_Coereba_flaveola,36
4806,Colaptes campestris,camfli1,Aves,Aves,04806_Animalia_Chordata_Aves_Piciformes_Picidae_Colaptes_campestris,7
1898,Columbina squammata,scadov1,Aves,Aves,01898_Animalia_Chordata_Aves_Columbiformes_Columbidae_Columbina_squammata,9
4132,Conirostrum speciosum,chvcon1,Aves,Aves,04132_Animalia_Chordata_Aves_Passeriformes_Thraupidae_Conirostrum_speciosum,2
2516,Conopophaga lineata,rufgna3,Aves,Aves,02516_Animalia_Chordata_Aves_Passeriformes_Conopophagidae_Conopophaga_lineata,6
4474,Corythopis delalandi,souant1,Aves,Aves,04474_Animalia_Chordata_Aves_Passeriformes_Tyrannidae_Corythopis_delalandi,6
2129,Crax fasciolata,bafcur1,Aves,Aves,02129_Animalia_Chordata_Aves_Galliformes_Cracidae_Crax_fasciolata,1
2046,Crotophaga ani,smbani,Aves,Aves,02046_Animalia_Chordata_Aves_Cuculiformes_Cuculidae_Crotophaga_ani,26
2047,Crotophaga major,greani1,Aves,Aves,02047_Animalia_Chordata_Aves_Cuculiformes_Cuculidae_Crotophaga_major,3
5198,Crypturellus parvirostris,smbtin1,Aves,Aves,05198_Animalia_Chordata_Aves_Tinamiformes_Tinamidae_Crypturellus_parvirostris,4
5201,Crypturellus tataupa,tattin1,Aves,Aves,05201_Animalia_Chordata_Aves_Tinamiformes_Tinamidae_Crypturellus_tataupa,13
5203,Crypturellus undulatus,undtin1,Aves,Aves,05203_Animalia_Chordata_Aves_Tinamiformes_Tinamidae_Crypturellus_undulatus,7
2556,Cyanocorax chrysops,plcjay1,Aves,Aves,02556_Animalia_Chordata_Aves_Passeriformes_Corvidae_Cyanocorax_chrysops,6
2558,Cyanocorax cyanomelas,purjay1,Aves,Aves,02558_Animalia_Chordata_Aves_Passeriformes_Corvidae_Cyanocorax_cyanomelas,3
2559,Cyanocorax cyanopogon,whnjay1,Aves,Aves,02559_Animalia_Chordata_Aves_Passeriformes_Corvidae_Cyanocorax_cyanopogon,4
2080,Daptrius chimachima,yehcar1,Aves,Aves,02080_Animalia_Chordata_Aves_Falconiformes_Falconidae_Daptrius_chimachima,13
1517,Dendrocygna autumnalis,bbwduc,Aves,Aves,01517_Animalia_Chordata_Aves_Anseriformes_Anatidae_Dendrocygna_autumnalis,47
1520,Dendrocygna viduata,wfwduc1,Aves,Aves,01520_Animalia_Chordata_Aves_Anseriformes_Anatidae_Dendrocygna_viduata,10
2815,Dendroplex picus,stbwoo2,Aves,Aves,02815_Animalia_Chordata_Aves_Passeriformes_Furnariidae_Dendroplex_picus,6
2637,Donacobius atricapilla,bkcdon,Aves,Aves,02637_Animalia_Chordata_Aves_Passeriformes_Donacobiidae_Donacobius_atricapilla,2
2059,Dromococcyx phasianellus,phecuc1,Aves,Aves,02059_Animalia_Chordata_Aves_Cuculiformes_Cuculidae_Dromococcyx_phasianellus,10
4834,Dryocopus lineatus,linwoo1,Aves,Aves,04834_Animalia_Chordata_Aves_Piciformes_Picidae_Dryocopus_lineatus,18
4478,Elaenia chiriquensis,lesela1,Aves,Aves,04478_Animalia_Chordata_Aves_Passeriformes_Tyrannidae_Elaenia_chiriquensis,1
4480,Elaenia flavogaster,yebela1,Aves,Aves,04480_Animalia_Chordata_Aves_Passeriformes_Tyrannidae_Elaenia_flavogaster,15
4487,Elaenia spectabilis,larela1,Aves,Aves,04487_Animalia_Chordata_Aves_Passeriformes_Tyrannidae_Elaenia_spectabilis,16
4153,Emberizoides ypiranganus,lesgrf1,Aves,Aves,04153_Animalia_Chordata_Aves_Passeriformes_Thraupidae_Emberizoides_ypiranganus,1
4156,Eucometis penicillata,grhtan1,Aves,Aves,04156_Animalia_Chordata_Aves_Passeriformes_Thraupidae_Eucometis_penicillata,1
1671,Eupetomena macroura,swthum1,Aves,Aves,01671_Animalia_Chordata_Aves_Caprimulgiformes_Trochilidae_Eupetomena_macroura,7
2820,Furnarius leucopus,palhor3,Aves,Aves,02820_Animalia_Chordata_Aves_Passeriformes_Furnariidae_Furnarius_leucopus,2
2822,Furnarius rufus,rufhor2,Aves,Aves,02822_Animalia_Chordata_Aves_Passeriformes_Furnariidae_Furnarius_rufus,41
2123,Galbula ruficauda,rutjac1,Aves,Aves,02123_Animalia_Chordata_Aves_Galbuliformes_Galbulidae_Galbula_ruficauda,12
2195,Gallus gallus,redjun,Aves,Aves,02195_Animalia_Chordata_Aves_Galliformes_Phasianidae_Gallus_gallus,16
5087,Glaucidium brasilianum,fepowl,Aves,Aves,05087_Animalia_Chordata_Aves_Strigiformes_Strigidae_Glaucidium_brasilianum,121
3007,Gnorimopsar chopi,chobla1,Aves,Aves,03007_Animalia_Chordata_Aves_Passeriformes_Icteridae_Gnorimopsar_chopi,16
4513,Hemitriccus margaritaceiventer,pvttyr1,Aves,Aves,04513_Animalia_Chordata_Aves_Passeriformes_Tyrannidae_Hemitriccus_margaritaceiventer,11
1674,Hylocharis chrysura,gilhum1,Aves,Aves,01674_Animalia_Chordata_Aves_Caprimulgiformes_Trochilidae_Hylocharis_chrysura,10
4661,Hylophilus pectoralis,ashgre1,Aves,Aves,04661_Animalia_Chordata_Aves_Passeriformes_Vireonidae_Hylophilus_pectoralis,3
4029,Hypoedaleus guttatus,spbant3,Aves,Aves,04029_Animalia_Chordata_Aves_Passeriformes_Thamnophilidae_Hypoedaleus_guttatus,13
3015,Icterus croconotus,orbtro3,Aves,Aves,03015_Animalia_Chordata_Aves_Passeriformes_Icteridae_Icterus_croconotus,1
3031,Icterus pyrrhopterus,epaori4,Aves,Aves,03031_Animalia_Chordata_Aves_Passeriformes_Icteridae_Icterus_pyrrhopterus,12
4519,Inezia inornata,platyr1,Aves,Aves,04519_Animalia_Chordata_Aves_Passeriformes_Tyrannidae_Inezia_inornata,3
1769,Jacana jacana,watjac1,Aves,Aves,01769_Animalia_Chordata_Aves_Charadriiformes_Jacanidae_Jacana_jacana,3
4524,Lathrotriccus euleri,eulfly1,Aves,Aves,04524_Animalia_Chordata_Aves_Passeriformes_Tyrannidae_Lathrotriccus_euleri,10
4525,Legatus leucophaius,pirfly1,Aves,Aves,04525_Animalia_Chordata_Aves_Passeriformes_Tyrannidae_Legatus_leucophaius,8
1912,Leptotila rufaxilla,grfdov1,Aves,Aves,01912_Animalia_Chordata_Aves_Columbiformes_Columbidae_Leptotila_rufaxilla,2
1913,Leptotila verreauxi,whtdov,Aves,Aves,01913_Animalia_Chordata_Aves_Columbiformes_Columbidae_Leptotila_verreauxi,60
1619,Lurocalis semitorquatus,shtnig1,Aves,Aves,01619_Animalia_Chordata_Aves_Caprimulgiformes_Caprimulgidae_Lurocalis_semitorquatus,4
3710,Machaeropterus pyrocephalus,ficman1,Aves,Aves,03710_Animalia_Chordata_Aves_Passeriformes_Pipridae_Machaeropterus_pyrocephalus,3
1978,Megaceryle torquata,rinkin1,Aves,Aves,01978_Animalia_Chordata_Aves_Coraciiformes_Alcedinidae_Megaceryle_torquata,9
4535,Megarynchus pitangua,bobfly1,Aves,Aves,04535_Animalia_Chordata_Aves_Passeriformes_Tyrannidae_Megarynchus_pitangua,51
5111,Megascops choliba,trsowl,Aves,Aves,05111_Animalia_Chordata_Aves_Strigiformes_Strigidae_Megascops_choliba,52
4843,Melanerpes candidus,whiwoo1,Aves,Aves,04843_Animalia_Chordata_Aves_Piciformes_Picidae_Melanerpes_candidus,17
2101,Micrastur ruficollis,baffal1,Aves,Aves,02101_Animalia_Chordata_Aves_Falconiformes_Falconidae_Micrastur_ruficollis,6
2102,Micrastur semitorquatus,coffal1,Aves,Aves,02102_Animalia_Chordata_Aves_Falconiformes_Falconidae_Micrastur_semitorquatus,47
4173,Microspingus melanoleucus,bcwfin2,Aves,Aves,04173_Animalia_Chordata_Aves_Passeriformes_Thraupidae_Microspingus_melanoleucus,2
3211,Mimus saturninus,chbmoc1,Aves,Aves,03211_Animalia_Chordata_Aves_Passeriformes_Mimidae_Mimus_saturninus,37
2009,Momotus momota,bucmot4,Aves,Aves,02009_Animalia_Chordata_Aves_Coraciiformes_Momotidae_Momotus_momota,1
2281,Mustelirallus albicollis,astcra1,Aves,Aves,02281_Animalia_Chordata_Aves_Gruiformes_Rallidae_Mustelirallus_albicollis,11
4542,Myiarchus ferox,shcfly1,Aves,Aves,04542_Animalia_Chordata_Aves_Passeriformes_Tyrannidae_Myiarchus_ferox,7
4547,Myiarchus tyrannulus,bncfly,Aves,Aves,04547_Animalia_Chordata_Aves_Passeriformes_Tyrannidae_Myiarchus_tyrannulus,32
4554,Myiopagis viridicata,greela,Aves,Aves,04554_Animalia_Chordata_Aves_Passeriformes_Tyrannidae_Myiopagis_viridicata,9
3497,Myiothlypis flaveola,flawar1,Aves,Aves,03497_Animalia_Chordata_Aves_Passeriformes_Parulidae_Myiothlypis_flaveola,6
3499,Myiothlypis leucoblephara,whbwar2,Aves,Aves,03499_Animalia_Chordata_Aves_Passeriformes_Parulidae_Myiothlypis_leucoblephara,22
3502,Myiothlypis rivularis,rivwar1,Aves,Aves,03502_Animalia_Chordata_Aves_Passeriformes_Parulidae_Myiothlypis_rivularis,6
4561,Myiozetetes cayanensis,rumfly1,Aves,Aves,04561_Animalia_Chordata_Aves_Passeriformes_Tyrannidae_Myiozetetes_cayanensis,8
4563,Myiozetetes similis,socfly1,Aves,Aves,04563_Animalia_Chordata_Aves_Passeriformes_Tyrannidae_Myiozetetes_similis,55
1631,Nyctibius grandis,grepot1,Aves,Aves,01631_Animalia_Chordata_Aves_Caprimulgiformes_Nyctibiidae_Nyctibius_grandis,1
1632,Nyctibius griseus,compot1,Aves,Aves,01632_Animalia_Chordata_Aves_Caprimulgiformes_Nyctibiidae_Nyctibius_griseus,27
1621,Nyctidromus albicollis,compau,Aves,Aves,01621_Animalia_Chordata_Aves_Caprimulgiformes_Caprimulgidae_Nyctidromus_albicollis,92
2131,Ortalis canicollis,chacha1,Aves,Aves,02131_Animalia_Chordata_Aves_Galliformes_Cracidae_Ortalis_canicollis,6
4299,Pachyramphus validus,crebec1,Aves,Aves,04299_Animalia_Chordata_Aves_Passeriformes_Tityridae_Pachyramphus_validus,3
1476,Pandion haliaetus,osprey,Aves,Aves,01476_Animalia_Chordata_Aves_Accipitriformes_Pandionidae_Pandion_haliaetus,193
4179,Paroaria capitata,yebcar,Aves,Aves,04179_Animalia_Chordata_Aves_Passeriformes_Thraupidae_Paroaria_capitata,2
3621,Passer domesticus,houspa,Aves,Aves,03621_Animalia_Chordata_Aves_Passeriformes_Passeridae_Passer_domesticus,1000
1925,Patagioenas picazuro,picpig2,Aves,Aves,01925_Animalia_Chordata_Aves_Columbiformes_Columbidae_Patagioenas_picazuro,14
2847,Phacellodomus ruber,gretho2,Aves,Aves,02847_Animalia_Chordata_Aves_Passeriformes_Furnariidae_Phacellodomus_ruber,16
2848,Phacellodomus rufifrons,ruftho1,Aves,Aves,02848_Animalia_Chordata_Aves_Passeriformes_Furnariidae_Phacellodomus_rufifrons,4
1688,Phaethornis eurynome,scther1,Aves,Aves,01688_Animalia_Chordata_Aves_Caprimulgiformes_Trochilidae_Phaethornis_eurynome,2
2070,Piaya cayana,squcuc1,Aves,Aves,02070_Animalia_Chordata_Aves_Cuculiformes_Cuculidae_Piaya_cayana,26
5005,Pionus maximiliani,schpar1,Aves,Aves,05005_Animalia_Chordata_Aves_Psittaciformes_Psittacidae_Pionus_maximiliani,4
4584,Pitangus sulphuratus,grekis,Aves,Aves,04584_Animalia_Chordata_Aves_Passeriformes_Tyrannidae_Pitangus_sulphuratus,184
4590,Poecilotriccus latirostris,ruftof1,Aves,Aves,04590_Animalia_Chordata_Aves_Passeriformes_Tyrannidae_Poecilotriccus_latirostris,2
3768,Polioptila dumicola,masgna1,Aves,Aves,03768_Animalia_Chordata_Aves_Passeriformes_Polioptilidae_Polioptila_dumicola,21
5008,Primolius auricollis,yecmac,Aves,Aves,05008_Animalia_Chordata_Aves_Psittaciformes_Psittacidae_Primolius_auricollis,1
2612,Procnias nudicollis,batbel1,Aves,Aves,02612_Animalia_Chordata_Aves_Passeriformes_Cotingidae_Procnias_nudicollis,8
2968,Progne tapera,brcmar1,Aves,Aves,02968_Animalia_Chordata_Aves_Passeriformes_Hirundinidae_Progne_tapera,8
2856,Pseudoseisura unirufa,rufcac2,Aves,Aves,02856_Animalia_Chordata_Aves_Passeriformes_Furnariidae_Pseudoseisura_unirufa,1
4071,Pyriglena maura,wesfie1,Aves,Aves,04071_Animalia_Chordata_Aves_Passeriformes_Thamnophilidae_Pyriglena_maura,5
5025,Pyrrhura frontalis,mabpar,Aves,Aves,05025_Animalia_Chordata_Aves_Psittaciformes_Psittacidae_Pyrrhura_frontalis,7
4900,Ramphastos toco,toctou1,Aves,Aves,04900_Animalia_Chordata_Aves_Piciformes_Ramphastidae_Ramphastos_toco,6
4189,Ramphocelus carbo,sibtan2,Aves,Aves,04189_Animalia_Chordata_Aves_Passeriformes_Thraupidae_Ramphocelus_carbo,4
2305,Rufirallus schomburgkii,ocecra1,Aves,Aves,02305_Animalia_Chordata_Aves_Gruiformes_Rallidae_Rufirallus_schomburgkii,3
1470,Rupornis magnirostris,roahaw,Aves,Aves,01470_Animalia_Chordata_Aves_Accipitriformes_Accipitridae_Rupornis_magnirostris,108
4200,Saltator coerulescens,grasal3,Aves,Aves,04200_Animalia_Chordata_Aves_Passeriformes_Thraupidae_Saltator_coerulescens,32
1628,Setopagis parvula,litnig1,Aves,Aves,01628_Animalia_Chordata_Aves_Caprimulgiformes_Caprimulgidae_Setopagis_parvula,8
4216,Sicalis flaveola,saffin,Aves,Aves,04216_Animalia_Chordata_Aves_Passeriformes_Thraupidae_Sicalis_flaveola,58
2862,Sittasomus griseicapillus,oliwoo1,Aves,Aves,02862_Animalia_Chordata_Aves_Passeriformes_Furnariidae_Sittasomus_griseicapillus,4
1474,Spizaetus tyrannus,blheag1,Aves,Aves,01474_Animalia_Chordata_Aves_Accipitriformes_Accipitridae_Spizaetus_tyrannus,9
2865,Synallaxis albescens,pabspi1,Aves,Aves,02865_Animalia_Chordata_Aves_Passeriformes_Furnariidae_Synallaxis_albescens,29
2867,Synallaxis albilora,whlspi1,Aves,Aves,02867_Animalia_Chordata_Aves_Passeriformes_Furnariidae_Synallaxis_albilora,1
2877,Synallaxis frontalis,sofspi1,Aves,Aves,02877_Animalia_Chordata_Aves_Passeriformes_Furnariidae_Synallaxis_frontalis,46
2881,Synallaxis hypospodia,cibspi1,Aves,Aves,02881_Animalia_Chordata_Aves_Passeriformes_Furnariidae_Synallaxis_hypospodia,2
2888,Synallaxis spixi,spispi1,Aves,Aves,02888_Animalia_Chordata_Aves_Passeriformes_Furnariidae_Synallaxis_spixi,24
5211,Taoniscus nanus,dwatin1,Aves,Aves,05211_Animalia_Chordata_Aves_Tinamiformes_Tinamidae_Taoniscus_nanus,1
2075,Tapera naevia,strcuc1,Aves,Aves,02075_Animalia_Chordata_Aves_Cuculiformes_Cuculidae_Tapera_naevia,43
4084,Taraba major,greant1,Aves,Aves,04084_Animalia_Chordata_Aves_Passeriformes_Thamnophilidae_Taraba_major,26
4094,Thamnophilus caerulescens,varant1,Aves,Aves,04094_Animalia_Chordata_Aves_Passeriformes_Thamnophilidae_Thamnophilus_caerulescens,14
4096,Thamnophilus doliatus,barant1,Aves,Aves,04096_Animalia_Chordata_Aves_Passeriformes_Thamnophilidae_Thamnophilus_doliatus,32
5029,Thectocercus acuticaudatus,bucpar,Aves,Aves,05029_Animalia_Chordata_Aves_Psittaciformes_Psittacidae_Thectocercus_acuticaudatus,8
4737,Theristicus caerulescens,pluibi1,Aves,Aves,04737_Animalia_Chordata_Aves_Pelecaniformes_Threskiornithidae_Theristicus_caerulescens,2
4738,Theristicus caudatus,bunibi1,Aves,Aves,04738_Animalia_Chordata_Aves_Pelecaniformes_Threskiornithidae_Theristicus_caudatus,5
4267,Thraupis palmarum,paltan1,Aves,Aves,04267_Animalia_Chordata_Aves_Passeriformes_Thraupidae_Thraupis_palmarum,17
4268,Thraupis sayaca,saytan1,Aves,Aves,04268_Animalia_Chordata_Aves_Passeriformes_Thraupidae_Thraupis_sayaca,34
4630,Tolmomyias sulphurescens,yeofly1,Aves,Aves,04630_Animalia_Chordata_Aves_Passeriformes_Tyrannidae_Tolmomyias_sulphurescens,21
1867,Tringa melanoleuca,greyel,Aves,Aves,01867_Animalia_Chordata_Aves_Charadriiformes_Scolopacidae_Tringa_melanoleuca,91
4397,Turdus amaurochalinus,crbthr1,Aves,Aves,04397_Animalia_Chordata_Aves_Passeriformes_Turdidae_Turdus_amaurochalinus,27
4431,Turdus rufiventris,rubthr1,Aves,Aves,04431_Animalia_Chordata_Aves_Passeriformes_Turdidae_Turdus_rufiventris,77
4639,Tyrannus melancholicus,trokin,Aves,Aves,04639_Animalia_Chordata_Aves_Passeriformes_Tyrannidae_Tyrannus_melancholicus,104
4640,Tyrannus savana,fotfly,Aves,Aves,04640_Animalia_Chordata_Aves_Passeriformes_Tyrannidae_Tyrannus_savana,5
1749,Vanellus chilensis,soulap1,Aves,Aves,01749_Animalia_Chordata_Aves_Charadriiformes_Charadriidae_Vanellus_chilensis,63
154,Guyalna cuta,1161364,Insecta,Insecta,00154_Animalia_Arthropoda_Insecta_Hemiptera_Cicadidae_Guyalna_cuta,1
567,Prionacris erosa,760266,Insecta,Insecta,00567_Animalia_Arthropoda_Insecta_Orthoptera_Romaleidae_Prionacris_erosa,1
304,Quesada gigas,244024,Insecta,Insecta,00304_Animalia_Arthropoda_Insecta_Hemiptera_Cicadidae_Quesada_gigas,42
5386,Alouatta caraya,43435,Mammalia,Mammalia,05386_Animalia_Chordata_Mammalia_Primates_Atelidae_Alouatta_caraya,2
5244,Bos taurus,74113,Mammalia,Mammalia,05244_Animalia_Chordata_Mammalia_Artiodactyla_Bovidae_Bos_taurus,1
5271,Canis familiaris,47144,Mammalia,Mammalia,05271_Animalia_Chordata_Mammalia_Carnivora_Canidae_Canis_familiaris,8
5286,Panthera onca,41970,Mammalia,Mammalia,05286_Animalia_Chordata_Mammalia_Carnivora_Felidae_Panthera_onca,1
