primary_label,inat_taxon_id,scientific_name,common_name,class_name,n_train
bcwfin2,558564,Microspingus melanoleucus,Black-capped Warbling Finch,Aves,56
bkcdon,116877,Donacobius atricapilla,Black-capped Donacobius,Aves,189
bkhpar,367562,Aratinga nenday,Nanday Parakeet,Aves,109
blchaw1,5346,Busarellus nigricollis,Black-collared Hawk,Aves,58
blheag1,5291,Spizaetus tyrannus,Black Hawk-Eagle,Aves,169
blttit1,8830,Tityra cayana,Black-tailed Tityra,Aves,71
bncfly,16016,Myiarchus tyrannulus,Brown-crested Flycatcher,Aves,492
bobfly1,16737,Megarynchus pitangua,Boat-billed Flycatcher,Aves,492
brcmar1,11870,Progne tapera,Brown-chested Martin,Aves,123
brnowl,1578502,Tyto furcata,American Barn Owl,Aves,474
bucmot4,204447,Momotus momota,Amazonian Motmot,Aves,169
bucpar,367564,Thectocercus acuticaudatus,Blue-crowned Parakeet,Aves,124
bufpar,18978,Amazona aestiva,Turquoise-fronted Amazon,Aves,206
bunibi1,3766,Theristicus caudatus,Buff-necked Ibis,Aves,174
burowl,19975,Athene cunicularia,Burrowing Owl,Aves,238
camfli1,18262,Colaptes campestris,Campo Flicker,Aves,122
chacha1,2088,Ortalis canicollis,Chaco Chachalaca,Aves,99
chbmoc1,14878,Mimus saturninus,Chalk-browed Mockingbird,Aves,270
chobla1,10723,Gnorimopsar chopi,Chopi Blackbird,Aves,244
chvcon1,10013,Conirostrum speciosum,Chestnut-vented Conebill,Aves,120
cibspi1,10921,Synallaxis hypospodia,Cinereous-breasted Spinetail,Aves,41
coffal1,4698,Micrastur semitorquatus,Collared Forest-Falcon,Aves,495
compau,19627,Nyctidromus albicollis,Pauraque,Aves,493
compot1,19667,Nyctibius griseus,Common Potoo,Aves,368
crbthr1,12710,Turdus amaurochalinus,Creamy-bellied Thrush,Aves,269
crebec1,8681,Pachyramphus validus,Crested Becard,Aves,81
dwatin1,20714,Taoniscus nanus,Dwarf Tinamou,Aves,23
epaori4,72954,Icterus pyrrhopterus,Variable Oriole,Aves,188
eulfly1,17231,Lathrotriccus euleri,Euler's Flycatcher,Aves,355
fabwre1,144880,Cantorchilus guarayanus,Fawn-breasted Wren,Aves,79
fepowl,19822,Glaucidium brasilianum,Ferruginous Pygmy Owl,Aves,497
ficman1,14344,Machaeropterus pyrocephalus,Fiery-capped Manakin,Aves,66
flawar1,201223,Myiothlypis flaveola,Flavescent Warbler,Aves,204
fotfly,16793,Tyrannus savana,Fork-tailed Flycatcher,Aves,83
fusfly1,17076,Cnemotriccus fuscatus,Fuscous Flycatcher,Aves,248
gilhum1,5979,Hylocharis chrysura,Gilded Hummingbird,Aves,117
giwrai1,460,Aramides ypecaha,Giant Wood Rail,Aves,111
glteme1,1289639,Chionomesa fimbriata,Glittering-throated Emerald,Aves,109
grasal3,9850,Saltator coerulescens,Bluish-grey Saltator,Aves,362
greani1,1970,Crotophaga major,Greater Ani,Aves,127
greant1,15957,Taraba major,Great Antshrike,Aves,475
greela,16892,Myiopagis viridicata,Greenish Elaenia,Aves,224
grekis,16956,Pitangus sulphuratus,Great Kiskadee,Aves,482
grepot1,19680,Nyctibius grandis,Great Potoo,Aves,72
gretho2,11632,Phacellodomus ruber,Greater Thornbird,Aves,153
greyel,3892,Tringa melanoleuca,Greater Yellowlegs,Aves,475
grfdov1,3302,Leptotila rufaxilla,Grey-fronted Dove,Aves,195
grhtan1,10698,Eucometis penicillata,Grey-headed Tanager,Aves,94
gycwor1,513889,Aramides cajaneus,Grey-cowled Wood Rail,Aves,436
horscr1,6908,Anhima cornuta,Horned Screamer,Aves,102
houspa,13858,Passer domesticus,House Sparrow,Aves,496
hyamac1,18938,Anodorhynchus hyacinthinus,Hyacinth Macaw,Aves,65
larela1,16734,Elaenia spectabilis,Large Elaenia,Aves,144
lesela1,578460,Elaenia chiriquensis,Lesser Elaenia,Aves,121
lesgrf1,10555,Emberizoides ypiranganus,Lesser Grass-Finch,Aves,30
limpki,7,Aramus guarauna,Limpkin,Aves,405
linwoo1,17858,Dryocopus lineatus,Lineated Woodpecker,Aves,356
litcuc2,72740,Coccycua minuta,Little Cuckoo,Aves,104
litnig1,367507,Setopagis parvula,Little Nightjar,Aves,109
mabpar,19162,Pyrrhura frontalis,Maroon-bellied Parakeet,Aves,105
magant1,15737,Cercomacra melanaria,Mato Grosso Antbird,Aves,63
magtan2,72727,Cissopis leverianus,Magpie Tanager,Aves,74
masgna1,7509,Polioptila dumicola,Masked Gnatcatcher,Aves,263
nacnig1,19661,Chordeiles nacunda,Nacunda Nighthawk,Aves,18
ocecra1,1506288,Rufirallus schomburgkii,Ocellated Crake,Aves,15
oliwoo1,11511,Sittasomus griseicapillus,Olivaceous Woodcreeper,Aves,424
orbtro3,62564,Icterus croconotus,Orange-backed Troupial,Aves,81
orwpar,18982,Amazona amazonica,Orange-winged Amazon,Aves,195
osprey,116999,Pandion haliaetus,Osprey,Aves,495
pabspi1,10999,Synallaxis albescens,Pale-breasted Spinetail,Aves,316
palhor3,11281,Furnarius leucopus,Pale-legged Hornero,Aves,69
paltan1,10297,Thraupis palmarum,Palm Tanager,Aves,247
phecuc1,1982,Dromococcyx phasianellus,Pheasant Cuckoo,Aves,149
picpig2,3102,Patagioenas picazuro,Picazuro Pigeon,Aves,162
pirfly1,17312,Legatus leucophaius,Piratic Flycatcher,Aves,345
plasla1,73493,Thamnophilus pelzelni,Planalto Slaty Antshrike,Aves,120
platyr1,16344,Inezia inornata,Plain Inezia,Aves,36
plcjay1,8484,Cyanocorax chrysops,Plush-crested Jay,Aves,186
pluibi1,3768,Theristicus caerulescens,Plumbeous Ibis,Aves,68
purjay1,8483,Cyanocorax cyanomelas,Purplish Jay,Aves,77
pvttyr1,16273,Hemitriccus margaritaceiventer,Pearly-vented Tody-Tyrant,Aves,241
ragmac1,19016,Ara chloropterus,Red-and-green Macaw,Aves,102
rebscy1,11201,Campylorhamphus trochilirostris,Red-billed Scythebill,Aves,182
recfin1,10310,Coryphospingus cucullatus,Red-crested Finch,Aves,126
redjun,882,Gallus gallus,Red Junglefowl,Aves,208
relser1,14,Cariama cristata,Red-legged Seriema,Aves,135
rinkin1,2552,Megaceryle torquata,Ringed Kingfisher,Aves,235
rivwar1,145267,Myiothlypis rivularis,Riverbank Warbler,Aves,100
roahaw,201041,Rupornis magnirostris,Roadside Hawk,Aves,489
rubthr1,12738,Turdus rufiventris,Rufous-bellied Thrush,Aves,499
rufcac2,11718,Pseudoseisura unirufa,Rufous Cacholote,Aves,28
rufcas2,17102,Casiornis rufus,Rufous Casiornis,Aves,58
rufgna3,578313,Conopophaga lineata,Rufous Gnateater,Aves,159
rufhor2,11275,Furnarius rufus,Rufous Hornero,Aves,315
rufnig1,201066,Antrostomus rufus,Rufous Nightjar,Aves,256
ruftho1,11624,Phacellodomus rufifrons,Rufous-fronted Thornbird,Aves,98
ruftof1,17026,Poecilotriccus latirostris,Rusty-fronted Tody-Flycatcher,Aves,98
rumfly1,16833,Myiozetetes cayanensis,Rusty-margined Flycatcher,Aves,247
ruther1,5048,Tigrisoma lineatum,Rufescent Tiger Heron,Aves,86
rutjac1,1468,Galbula ruficauda,Rufous-tailed Jacamar,Aves,265
sabspa1,10064,Arremon flavirostris,Saffron-billed Sparrow,Aves,69
saffin,9864,Sicalis flaveola,Saffron Finch,Aves,479
saytan1,10293,Thraupis sayaca,Sayaca Tanager,Aves,278
scadov1,3564,Columbina squammata,Scaled Dove,Aves,164
schpar1,19094,Pionus maximiliani,Scaly-headed Parrot,Aves,145
scther1,5622,Phaethornis eurynome,Scale-throated Hermit,Aves,103
shcfly1,16006,Myiarchus ferox,Short-crested Flycatcher,Aves,223
shshaw,5097,Accipiter striatus,Sharp-shinned Hawk,Aves,101
shtnig1,19645,Lurocalis semitorquatus,Short-tailed Nighthawk,Aves,163
sibtan2,10056,Ramphocelus carbo,Silver-beaked Tanager,Aves,226
smbani,1971,Crotophaga ani,Smooth-billed Ani,Aves,305
smbtin1,20570,Crypturellus parvirostris,Small-billed Tinamou,Aves,94
sobcac1,10365,Cacicus solitarius,Solitary Cacique,Aves,183
sobtyr1,16972,Camptostoma obsoletum,Southern Beardless Tyrannulet,Aves,490
socfly1,16842,Myiozetetes similis,Social Flycatcher,Aves,494
sofspi1,10996,Synallaxis frontalis,Sooty-fronted Spinetail,Aves,437
souant1,17264,Corythopis delalandi,Southern Antpipit,Aves,159
soulap1,4867,Vanellus chilensis,Southern Lapwing,Aves,497
souscr1,6910,Chauna torquata,Southern Screamer,Aves,103
spbant3,15959,Hypoedaleus guttatus,Spot-backed Antshrike,Aves,205
spispi1,10915,Synallaxis spixi,Spix's Spinetail,Aves,239
sptnig1,1584760,Antiurus maculicaudus,Spot-tailed Nightjar,Aves,3
squcuc1,1758,Piaya cayana,Common Squirrel-Cuckoo,Aves,432
stbwoo2,72806,Dendroplex picus,Straight-billed Woodcreeper,Aves,219
strcuc1,1989,Tapera naevia,Striped Cuckoo,Aves,485
strher2,62528,Butorides striata,Striated Heron,Aves,164
strowl1,558468,Asio clamator,Striped Owl,Aves,184
swthum1,6065,Eupetomena macroura,Swallow-tailed Hummingbird,Aves,98
swtman1,14306,Chiroxiphia caudata,Swallow-tailed Manakin,Aves,355
tattin1,20587,Crypturellus tataupa,Tataupa Tinamou,Aves,138
thlwre1,7480,Campylorhynchus turdinus,Thrush-like Wren,Aves,213
toctou1,18793,Ramphastos toco,Toco Toucan,Aves,148
trokin,16787,Tyrannus melancholicus,Tropical Kingbird,Aves,483
trsowl,19788,Megascops choliba,Tropical Screech Owl,Aves,491
undtin1,20592,Crypturellus undulatus,Undulated Tinamou,Aves,204
varant1,15757,Thamnophilus caerulescens,Variable Antshrike,Aves,291
watjac1,4580,Jacana jacana,Wattled Jacana,Aves,134
wesfie1,1286886,Pyriglena maura,Western Fire-eye,Aves,136
wfwduc1,6898,Dendrocygna viduata,White-faced Whistling Duck,Aves,133
whbant2,15902,Biatas nigropectus,White-bearded Antshrike,Aves,75
whbwar2,201224,Myiothlypis leucoblephara,White-browed Warbler,Aves,243
whiwoo1,18183,Melanerpes candidus,White Woodpecker,Aves,150
whlspi1,10992,Synallaxis albilora,White-lored Spinetail,Aves,59
whnjay1,8469,Cyanocorax cyanopogon,White-naped Jay,Aves,105
whtdov,3280,Leptotila verreauxi,White-tipped Dove,Aves,491
whwpic1,17786,Picumnus albosquamatus,White-wedged Piculet,Aves,83
y00678,4715,Caracara plancus,Crested Caracara,Aves,188
yebcar,10257,Paroaria capitata,Yellow-billed Cardinal,Aves,27
yebela1,16714,Elaenia flavogaster,Yellow-bellied Elaenia,Aves,297
yecmac,73272,Primolius auricollis,Golden-collared Macaw,Aves,46
yecpar,19215,Brotogeris chiriri,Yellow-chevroned Parakeet,Aves,243
yehcar1,1432779,Daptrius chimachima,Yellow-headed Caracara,Aves,82
yeofly1,16567,Tolmomyias sulphurescens,Yellow-olive Flatbill,Aves,493
