primary_label,n,median_km,p25_km,p75_km,min_km,max_km,scientific_name,common_name,class_name
wesfie1,136,3054.691504138056,1150.4432937512074,3137.601935564602,94.9211214240235,3307.8126960403283,Pyriglena maura,Western Fire-eye,Aves
bobfly1,492,3036.8114107287856,1245.1915592383723,4906.395083019809,136.98834291469132,6925.921713233992,Megarynchus pitangua,Boat-billed Flycatcher,Aves
41970,21,2986.5857049195974,2698.3656645220544,2986.5857049195974,78.4114234330835,5446.277950178997,Panthera onca,Jaguar,Mammalia
banana,498,2821.381686182293,1502.595742098872,4134.310406842812,242.07905939110796,6127.581225596882,Coereba flaveola,Bananaquit,Aves
rinkin1,235,2746.663458088527,1326.6903756253703,4854.636627531385,136.98834291469132,8047.260751517869,Megaceryle torquata,Ringed Kingfisher,Aves
litcuc2,104,2717.5383725500324,1316.697184579053,3195.305086069142,143.35871369647393,3434.6155165726937,Coccycua minuta,Little Cuckoo,Aves
23154,5,2710.4420947731487,2560.0036699050597,2710.519378230744,1836.141701940522,2710.6295343569104,Physalaemus albifrons,Bahia Dwarf Frog,Amphibia
pirfly1,345,2682.2079037864482,1299.6132062651177,3268.8059571056365,264.65078469931757,6242.491052630961,Legatus leucophaius,Piratic Flycatcher,Aves
22985,6,2668.178520451153,2567.5408543869653,2700.497013060485,1053.9463960348241,2702.433715650389,Leptodactylus petersii,Peter's Jungle Frog,Amphibia
barant1,454,2632.171580323333,1031.2160090307493,3933.262443195079,40.79749416464107,6564.988564779631,Thamnophilus doliatus,Barred Antshrike,Aves
yebela1,297,2613.990379949681,1171.3224113829233,3311.427239355654,376.2890554029495,5829.676004857218,Elaenia flavogaster,Yellow-bellied Elaenia,Aves
rutjac1,265,2526.0415495319908,1236.8337215818206,3453.0777998391336,249.64645975006897,5597.7250116977675,Galbula ruficauda,Rufous-tailed Jacamar,Aves
paltan1,247,2517.0209178078426,1470.8100744130438,3253.086181478012,607.2058686977853,4507.686966595141,Thraupis palmarum,Palm Tanager,Aves
linwoo1,356,2481.764543719615,1129.7224134793444,3496.179570512132,146.75971386106497,7606.650907462638,Dryocopus lineatus,Lineated Woodpecker,Aves
burowl,238,2434.6974256678122,1399.456007091319,6395.648705551748,413.7298099048433,9771.5401546561,Athene cunicularia,Burrowing Owl,Aves
yehcar1,82,2373.8328187379375,1154.1172522065922,3394.7565963435463,686.6754732765969,5596.417301588774,Daptrius chimachima,Yellow-headed Caracara,Aves
grepot1,72,2328.528508329445,1752.427390827705,3104.483028695714,249.64645975006897,5406.4812363415995,Nyctibius grandis,Great Potoo,Aves
pabspi1,316,2326.3054823147836,1463.1678222578103,3350.3868901878873,142.936118894626,4412.608449356024,Synallaxis albescens,Pale-breasted Spinetail,Aves
squcuc1,432,2318.7814627750327,1154.3207883286786,3401.361297894006,249.64645975006897,7614.176005043942,Piaya cayana,Common Squirrel-Cuckoo,Aves
orwpar,195,2219.247025025966,1371.4577544928084,3077.0847003827184,376.2890554029495,8214.995800723838,Amazona amazonica,Orange-winged Amazon,Aves
stbwoo2,219,2199.5177218082936,1498.1354750964347,3006.384698537417,250.0908805000791,3987.82954396106,Dendroplex picus,Straight-billed Woodcreeper,Aves
soulap1,497,2134.1681435641367,1433.7818883230157,3170.777974038786,264.5589443293463,5499.198105304481,Vanellus chilensis,Southern Lapwing,Aves
23176,4,2124.529278208669,1801.374897535331,2216.2139491001617,832.0989515232518,2491.0807657667046,Pseudopaludicola mystacalis,Cope's Swamp Froglet,Amphibia
555145,9,2117.046021253138,1704.7393100383206,2699.3894931087993,914.9082860041093,3023.6021409065893,Boana punctata,Polka-dot Tree Frog,Amphibia
555146,18,2116.1271948280637,1028.9845204766914,2526.9220454318734,468.93353669872977,2699.3894931087993,Boana raniceps,Chaco Tree Frog,Amphibia
70711,2,2080.3145195349007,1845.2063612443026,2315.4226778254983,1610.0982029537045,2550.5308361160965,Leptodactylus macrosternum,Cei's White-lipped Frog,Amphibia
blheag1,169,2048.8434379044115,1270.6360979184867,3342.9296849295138,279.83410316526766,6928.6184457454665,Spizaetus tyrannus,Black Hawk-Eagle,Aves
sibtan2,226,1870.2805981091456,1083.1345442789657,2889.0694808004755,264.65078469931757,5896.31643343185,Ramphocelus carbo,Silver-beaked Tanager,Aves
baffal1,337,1867.6489035341012,1237.6307344510462,3196.521113620687,376.2890554029495,5913.8295360541515,Micrastur ruficollis,Barred Forest-Falcon,Aves
rufnig1,256,1834.8907794020179,1027.243235217647,1835.2112126044046,137.84621946646536,4279.479555945239,Antrostomus rufus,Rufous Nightjar,Aves
palhor3,69,1834.879037378412,1339.2267426137355,2462.242043912664,242.07905939110796,3792.2465938433684,Furnarius leucopus,Pale-legged Hornero,Aves
ruftho1,98,1816.1073935014338,1030.1117299935436,2786.9102389741847,222.42155549286247,3668.1087872654443,Phacellodomus rufifrons,Rufous-fronted Thornbird,Aves
compot1,368,1815.2356621193912,1150.7175459414761,3064.781119918016,354.42197283163364,4413.961724999586,Nyctibius griseus,Common Potoo,Aves
greela,224,1791.5226568145654,892.6526373183791,4373.840062818975,151.4355350840821,7601.325364767984,Myiopagis viridicata,Greenish Elaenia,Aves
sobtyr1,490,1790.1925942382172,1231.4554509369261,3162.2159549289086,250.0908805000791,4423.770928131249,Camptostoma obsoletum,Southern Beardless Tyrannulet,Aves
67252,6,1772.9195185546541,818.7314840935495,2615.9996247866866,698.7757105142658,3429.250431418779,Trachycephalus typhonius,Milk Frog,Amphibia
watjac1,134,1767.458693164588,1171.397205630858,2971.626996942061,78.71591518336625,4015.7936632936953,Jacana jacana,Wattled Jacana,Aves
horscr1,102,1767.186344466482,992.454344972875,2968.477497390645,563.8718202755969,3588.702229950062,Anhima cornuta,Horned Screamer,Aves
gycwor1,436,1765.7435555531151,1233.4552654624745,3364.6545623122574,78.82438999986721,4519.934351080073,Aramides cajaneus,Grey-cowled Wood Rail,Aves
23724,1,1764.5051681720809,1764.5051681720809,1764.5051681720809,1764.5051681720809,1764.5051681720809,Phyllomedusa sauvagii,Waxy Monkey Tree Frog,Amphibia
bucmot4,169,1760.3027073547848,835.4499336663832,2736.627457430327,123.1220814776702,3754.9073634680576,Momotus momota,Amazonian Motmot,Aves
y00678,188,1760.1296600339006,1103.8021042633363,4768.5579561399645,40.79749416464107,7606.650907462638,Caracara plancus,Crested Caracara,Aves
strowl1,184,1706.2308547173218,1162.212473991071,2702.339467363975,121.68894511714574,6128.241616674488,Asio clamator,Striped Owl,Aves
saffin,479,1704.442478559297,1114.0691808972592,2690.4979764884292,40.79749416464107,11901.169019795065,Sicalis flaveola,Saffron Finch,Aves
greant1,475,1695.5912221167428,1245.2739463280664,3030.9037457137956,40.79749416464107,5668.71926286253,Taraba major,Great Antshrike,Aves
grfdov1,195,1694.5531539440142,1153.1052055965001,2620.547419766687,356.02322815025474,3440.2522813089954,Leptotila rufaxilla,Grey-fronted Dove,Aves
sptnig1,3,1654.9045968304874,1567.014003916153,3739.6552614642032,1479.123411001818,5824.405926097919,Antiurus maculicaudus,Spot-tailed Nightjar,Aves
rebscy1,182,1628.8252127804758,827.50044346241,3191.1689745258955,40.79749416464107,3827.1949573976085,Campylorhamphus trochilirostris,Red-billed Scythebill,Aves
trsowl,491,1623.3157036377484,1156.7644743510245,3052.7388460680404,231.46256871870398,4432.38494101555,Megascops choliba,Tropical Screech Owl,Aves
strcuc1,485,1616.1105012858893,1171.1301757307142,3268.8059571056365,53.550214983037414,5979.245596893602,Tapera naevia,Striped Cuckoo,Aves
1176823,12,1615.6347089212431,1501.2920630462972,1805.9310676020025,937.2014793939682,2093.4752163278704,Leptodactylus luctator,Wrestler Frog,Amphibia
ragmac1,102,1579.0857652270904,1049.1425127210473,1800.8543353785938,40.41973038360617,18966.030862676984,Ara chloropterus,Red-and-green Macaw,Aves
greani1,127,1502.595742098872,925.8024762721401,2970.052247166353,465.37572402535113,4016.3176545295382,Crotophaga major,Greater Ani,Aves
sobcac1,183,1500.6753185790951,1071.4100880046244,2476.8770647641636,40.79749416464107,3231.80798218138,Cacicus solitarius,Solitary Cacique,Aves
glteme1,109,1481.3923957711306,956.9537739828655,2465.691954940194,249.64645975006897,3458.657790339541,Chionomesa fimbriata,Glittering-throated Emerald,Aves
bkcdon,189,1481.076397335747,978.5907046173492,2700.7534253897556,40.79749416464107,3810.717973626036,Donacobius atricapilla,Black-capped Donacobius,Aves
oliwoo1,424,1479.4131266786053,962.9635173018914,1858.1097587502834,151.4355350840821,6914.284092646531,Sittasomus griseicapillus,Olivaceous Woodcreeper,Aves
326272,28,1479.1558911956,1253.650120478001,1589.8669566369688,940.2286418392706,2101.2586480021787,Physalaemus biligonigerus,Weeping Frog,Amphibia
brcmar1,123,1477.0517571091325,956.9537739828655,1762.9309559276862,151.4355350840821,4249.967288143013,Progne tapera,Brown-chested Martin,Aves
22956,32,1476.601528704904,1254.6300920258734,2100.8733096138844,880.9691172969268,2261.6580445997743,Leptodactylus mystacinus,Mustached Frog,Amphibia
65380,23,1474.6496269654024,1312.981423327743,1768.9623958299198,271.78641461600057,2605.402900156716,Dendropsophus nanus,Dwarf Tree Frog,Amphibia
grasal3,362,1474.1540540589635,1047.5107810529955,1786.8050896809455,40.79749416464107,3474.145255116267,Saltator coerulescens,Bluish-grey Saltator,Aves
25092,26,1473.2712788607378,1169.0559160941434,1600.0867900000378,736.8503324748401,1765.8669152766818,Elachistocleis bicolor,Two-colored oval frog,Amphibia
chbmoc1,270,1467.6982035595252,1110.204040210981,1749.349737335739,272.70109516436236,3509.595374813836,Mimus saturninus,Chalk-browed Mockingbird,Aves
yeofly1,493,1465.4422819831989,989.1214530252525,2977.4342323309356,94.9211214240235,5947.623467286484,Tolmomyias sulphurescens,Yellow-olive Flatbill,Aves
rubthr1,499,1464.0929818406787,1156.2430327767156,1722.9416037545911,136.98834291469132,2756.2279593913604,Turdus rufiventris,Rufous-bellied Thrush,Aves
whnjay1,105,1462.9642641726682,1042.6469322250196,1902.6259042195468,413.4231527764057,2760.128933371602,Cyanocorax cyanopogon,White-naped Jay,Aves
24279,46,1459.3079946902403,1255.1817341716603,1611.4424712249945,969.879738912023,1804.5585578958626,Scinax nasicus,Lesser Snouted Tree Frog,Amphibia
sofspi1,437,1457.3586137545703,998.3027027634845,1741.875255274804,279.9307720376405,2742.542450121636,Synallaxis frontalis,Sooty-fronted Spinetail,Aves
66971,5,1455.7762268046026,1453.1093928135545,1474.6396128645254,1453.1064456553415,1474.6780751056472,Pseudis platensis,Paraguayan Swimming Frog,Amphibia
giwrai1,111,1444.9588704720977,963.720983249598,1559.8552188324402,660.4194096859468,1859.5676159649213,Aramides ypecaha,Giant Wood Rail,Aves
eulfly1,355,1381.08438047522,1033.8724682746983,2061.947733907333,272.70109516436236,3509.058731562325,Lathrotriccus euleri,Euler's Flycatcher,Aves
spispi1,239,1376.4868511727507,1169.7727485273174,1731.069227047346,785.0126383598399,1934.8714663146784,Synallaxis spixi,Spix's Spinetail,Aves
shcfly1,223,1372.9291629057147,1030.9214402612733,2038.3943656772155,376.2890554029495,3296.692862994961,Myiarchus ferox,Short-crested Flycatcher,Aves
thlwre1,213,1338.053942072202,690.1985764903116,1806.4648727178092,40.79749416464107,3099.6371027107525,Campylorhynchus turdinus,Thrush-like Wren,Aves
lesela1,121,1337.8134666881194,956.9537739828655,2496.3755208580055,376.2890554029495,4425.618163375006,Elaenia chiriquensis,Lesser Elaenia,Aves
magtan2,74,1318.386620312643,870.1820002636889,1852.7581386620445,376.2890554029495,3099.6371027107525,Cissopis leverianus,Magpie Tanager,Aves
baymac,167,1311.3294138498836,946.9246167616543,2645.2547158342327,146.88963394893145,12769.652200430466,Ara ararauna,Blue-and-yellow Macaw,Aves
fotfly,83,1309.1545357092168,972.6504131394761,2093.263138964642,415.6240168655249,5956.113511866764,Tyrannus savana,Fork-tailed Flycatcher,Aves
chvcon1,120,1308.3337603463276,836.5711034117828,1556.4973607475902,563.8816028877403,3205.6765212602218,Conirostrum speciosum,Chestnut-vented Conebill,Aves
bcwfin2,56,1307.5252721643874,851.3214229216295,1478.258247560959,143.96492720255083,1728.9096474746839,Microspingus melanoleucus,Black-capped Warbling Finch,Aves
22973,63,1305.8982858457846,1015.5079750624686,3147.690732450612,641.0400115599145,4008.6810655435534,Leptodactylus fuscus,Whistling Grass Frog,Amphibia
64898,3,1304.9251893095652,763.2714688038178,1305.411737577675,221.61774829807038,1305.8982858457846,Ameerega picta,Yungas de la Paz Poison Frog,Amphibia
crbthr1,269,1291.5487525453384,954.2950806809848,1600.0289562061062,249.64645975006897,2551.93706606607,Turdus amaurochalinus,Creamy-bellied Thrush,Aves
blttit1,71,1289.093471972023,925.7209415892737,2451.4189475924613,579.3963014974285,3257.874957940874,Tityra cayana,Black-tailed Tityra,Aves
ashgre1,106,1284.0220241677468,825.3581981419188,2272.242459860512,242.07905939110796,2769.9609310900855,Hylophilus pectoralis,Ashy-headed Greenlet,Aves
shtnig1,163,1278.9354745563699,957.9495975937532,2396.5050449176356,376.2890554029495,4847.627801281808,Lurocalis semitorquatus,Short-tailed Nighthawk,Aves
scadov1,164,1275.814931314531,877.546565534326,2618.4134271304856,118.72529925529611,3828.8188053652643,Columbina squammata,Scaled Dove,Aves
24287,11,1267.0563190825387,1052.7459493283814,2124.747085996275,588.0166036622,2471.99067290752,Scinax fuscomarginatus,Brown-bordered Snouted Tree Frog,Amphibia
nacnig1,18,1261.476122476407,956.9537739828655,1475.6087868547406,142.86269022598415,1765.6175918531112,Chordeiles nacunda,Nacunda Nighthawk,Aves
lesgrf1,30,1259.7079830935593,1058.2197138415222,1373.4596330151742,238.08114310912387,1440.3139780763956,Emberizoides ypiranganus,Lesser Grass-Finch,Aves
1595929,5,1249.4122380760489,1249.40043963943,1250.1004758913155,1060.8894396031778,1250.453675191442,Lysapsus limellum,Uruguay Harlequin Frog,Amphibia
rufhor2,315,1235.0675315370102,905.5051989257358,1589.3696561239753,40.79749416464107,2473.518573022526,Furnarius rufus,Rufous Hornero,Aves
gilhum1,117,1235.0523985672376,832.0589940773702,1536.5987521553207,114.99752635555546,1773.6103668911792,Hylocharis chrysura,Gilded Hummingbird,Aves
whbwar2,243,1231.8804670894901,1002.3830535717307,1444.63809212674,663.4642754127842,1777.0178381978246,Myiothlypis leucoblephara,White-browed Warbler,Aves
scther1,103,1227.9033125114809,1075.5684444372891,1482.6697966288798,584.1788197317695,1868.150075621316,Phaethornis eurynome,Scale-throated Hermit,Aves
larela1,144,1226.725352936607,933.495431237641,1498.7523208585694,40.79749416464107,3021.3240156111856,Elaenia spectabilis,Large Elaenia,Aves
whiwoo1,150,1224.9331520564,963.5814965964734,1516.0923630164752,146.75971386106497,2746.663458088527,Melanerpes candidus,White Woodpecker,Aves
mabpar,105,1223.7749086673693,1048.1918980618398,1478.7884034586739,417.83915410220044,1867.6489035341012,Pyrrhura frontalis,Maroon-bellied Parakeet,Aves
rivwar1,100,1215.3108469748909,1087.6727641580856,1359.34817766189,585.0371538684648,2846.6557028072357,Myiothlypis rivularis,Riverbank Warbler,Aves
plasla1,120,1213.2364499245796,832.8659072187169,1834.879037378412,249.64645975006897,2742.812428327762,Thamnophilus pelzelni,Planalto Slaty Antshrike,Aves
saytan1,278,1210.6057513540336,964.6674671375529,1478.4877284265456,142.627660780268,2634.7413181990064,Thraupis sayaca,Sayaca Tanager,Aves
swtman1,355,1206.9752494543193,1079.5717807984893,1434.3964908595685,585.1921594475289,1877.763941217525,Chiroxiphia caudata,Swallow-tailed Manakin,Aves
ruther1,86,1202.9494533857319,854.6037251168211,2729.9008906292743,70.6516371526464,3407.714191703207,Tigrisoma lineatum,Rufescent Tiger Heron,Aves
camfli1,122,1195.2638960356326,951.8402909047915,1456.2481860379833,413.7194670871044,2348.8589095013567,Colaptes campestris,Campo Flicker,Aves
varant1,291,1193.6611180289374,961.0167985220726,1502.016107444242,171.47631692416022,2724.4919050630533,Thamnophilus caerulescens,Variable Antshrike,Aves
batbel1,229,1184.5085150881964,1133.399414920089,1391.8509550639712,583.94918908016,1950.5855268979888,Procnias nudicollis,Bare-throated Bellbird,Aves
orbtro3,81,1184.447211241598,563.8816028877403,2517.0209178078426,40.79749416464107,3120.8990406680755,Icterus croconotus,Orange-backed Troupial,Aves
picpig2,162,1173.4492466755523,876.7271743850334,1521.0888832210658,146.75971386106497,2551.9693644945905,Patagioenas picazuro,Picazuro Pigeon,Aves
fusfly1,248,1169.1369680009118,834.5229458358463,1733.6715743458276,250.0908805000791,3637.736664003958,Cnemotriccus fuscatus,Fuscous Flycatcher,Aves
ficman1,66,1166.0563540771673,814.7081444890275,1598.9064820713413,356.02322815025474,2619.744273572337,Machaeropterus pyrocephalus,Fiery-capped Manakin,Aves
rufgna3,159,1164.989094867855,921.2470984111139,1347.2031140136135,380.3201079336123,1868.150075621316,Conopophaga lineata,Rufous Gnateater,Aves
pvttyr1,241,1163.8887813121798,792.8867370402393,1847.5492725870015,40.79749416464107,3827.1949573976085,Hemitriccus margaritaceiventer,Pearly-vented Tody-Tyrant,Aves
tattin1,138,1161.5960050106,883.9277171455598,1502.595742098872,376.2890554029495,2890.2215627455944,Crypturellus tataupa,Tataupa Tinamou,Aves
schpar1,145,1159.4505185929347,952.2480097671574,1324.8541546978988,136.98834291469132,5584.913258390598,Pionus maximiliani,Scaly-headed Parrot,Aves
gretho2,153,1154.449910550575,778.2219494954207,1457.4647609371907,40.79749416464107,2070.880384594047,Phacellodomus ruber,Greater Thornbird,Aves
souscr1,103,1154.449910550575,760.0338336732036,1508.0603998442016,59.07504758790662,2348.8589095013567,Chauna torquata,Southern Screamer,Aves
astcra1,128,1154.449910550575,835.4499336663832,1724.7709952872515,114.99752635555546,3396.1694797038167,Mustelirallus albicollis,Ash-throated Crake,Aves
spbant3,205,1151.463928712987,855.7568427934045,1301.3970493121956,533.3036751142291,1868.150075621316,Hypoedaleus guttatus,Spot-backed Antshrike,Aves
ocecra1,15,1149.248517390517,941.9125496727205,2693.9956612459882,938.8448949541857,3453.412862147991,Rufirallus schomburgkii,Ocellated Crake,Aves
22967,8,1143.3842833381077,923.8173118838621,1198.4971475639188,774.4545633590702,1311.4350552704655,Leptodactylus elenae,Marbled White-lipped Frog,Amphibia
undtin1,204,1125.7937012104487,786.7102408353757,2191.9462155040305,82.22347144772066,3172.2813006674805,Crypturellus undulatus,Undulated Tinamou,Aves
1161364,11,1107.783678671107,1106.00265242262,1342.9381299265199,675.3604899211523,1684.0717079640863,Guyalna cuta,Guyalna cuta,Insecta
bunibi1,174,1100.7546152372827,825.3581981419188,1438.3295142526135,40.79749416464107,3422.910595159322,Theristicus caudatus,Buff-necked Ibis,Aves
swthum1,98,1095.3288488327776,835.4499336663832,1474.8329032278111,660.4194096859468,2748.36847690357,Eupetomena macroura,Swallow-tailed Hummingbird,Aves
litnig1,109,1094.9889255934118,932.631775747583,1536.3384265274285,249.64645975006897,2710.6541219452533,Setopagis parvula,Little Nightjar,Aves
smbtin1,94,1092.7071746356787,835.4499336663832,1727.6720194148093,223.15960219363973,2748.36847690357,Crypturellus parvirostris,Small-billed Tinamou,Aves
flawar1,204,1090.9222198724265,764.8639473394255,1835.4530123808586,114.99752635555546,3637.821548988522,Myiothlypis flaveola,Flavescent Warbler,Aves
epaori4,188,1088.5426967198223,829.2693186317364,1464.0878371360595,82.22347144772066,2662.7060699008384,Icterus pyrrhopterus,Variable Oriole,Aves
23158,25,1085.8147883000822,947.7257056749218,1485.1182440390069,250.0633263428183,1699.1861533220713,Physalaemus albonotatus,Pale-legged Weeping Frog,Amphibia
yecpar,243,1084.887302995711,819.579556202325,1744.6960851700842,136.98834291469132,8804.995794331615,Brotogeris chiriri,Yellow-chevroned Parakeet,Aves
crebec1,81,1079.5717807984893,848.9176065455553,1223.7749086673693,171.47631692416022,2609.9301320548207,Pachyramphus validus,Crested Becard,Aves
65377,46,1078.7423932423653,1029.9998123503624,1196.4810491645587,541.4521581625343,2738.1921687329414,Dendropsophus minutus,Lesser Tree Frog,Amphibia
relser1,135,1065.1316939643293,826.9718367108248,1471.982561279331,231.98398803652947,2481.0278805991484,Cariama cristata,Red-legged Seriema,Aves
cibspi1,41,1059.072993870569,680.2489440547124,2395.48915826613,40.79749416464107,2838.990158458631,Synallaxis hypospodia,Cinereous-breasted Spinetail,Aves
bufpar,206,1047.7780068515908,758.5696940320294,1455.3384390807419,83.97315553821986,9689.336954975111,Amazona aestiva,Turquoise-fronted Amazon,Aves
dwatin1,23,1045.1896476902684,998.0898457089088,1077.0585963325975,939.3920824644588,1152.1324512627564,Taoniscus nanus,Dwarf Tinamou,Aves
67107,14,1044.0572813763026,977.6250700852743,1221.0818345514808,541.0435987528306,2669.9282203922803,Rhinella diptycha,Rococo Toad,Amphibia
whbant2,75,1043.9702463570366,1002.8793108375855,1193.286460365643,740.7059562337722,1531.0069276491652,Biatas nigropectus,White-bearded Antshrike,Aves
22983,10,1035.0658116296036,884.2854926967661,1078.689849847651,762.3237058673802,1103.722767122596,Leptodactylus labyrinthicus,Pepper Frog,Amphibia
760266,7,1029.0740573643366,1028.4052893922437,1056.581824612745,411.19575202652817,1144.4593110446676,Prionacris erosa,Prionacris erosa,Insecta
555123,3,1016.7632653140604,1002.4454575497529,1168.1425921689117,988.1276497854453,1319.521919023763,Boana lundii,Usina Tree Frog,Amphibia
masgna1,263,1010.9106003526487,825.3581981419188,1464.096928212758,40.79749416464107,2206.8522357772163,Polioptila dumicola,Masked Gnatcatcher,Aves
chobla1,244,983.3825335333598,690.3792222970304,1304.4082095911617,40.79749416464107,2621.938150699052,Gnorimopsar chopi,Chopi Blackbird,Aves
grhtan1,94,982.6915026410304,818.6153337618517,3315.59190426122,171.47631692416022,5594.588746168504,Eucometis penicillata,Grey-headed Tanager,Aves
476521,3,981.8299615312592,950.3881633561034,1049.761251009918,918.9463651809475,1117.6925404885765,Physalaemus nattereri,Cuyaba Dwarf Frog,Amphibia
bafcur1,51,980.7520714631692,279.8467907996748,1065.9878147578897,60.29118578893861,2100.8087368397455,Crax fasciolata,Bare-faced Curassow,Aves
24285,19,971.9464179023248,971.8714952234582,1131.4418353228054,761.8556464345504,1551.8002835755774,Scinax fuscovarius,Snouted Tree Frog,Amphibia
116570,1,970.6517900042963,970.6517900042963,970.6517900042963,970.6517900042963,970.6517900042963,Caiman yacare,Southern Spectacled Caiman,Reptilia
43435,14,968.8359413085655,682.7207560658383,1050.0100634411115,70.2365369361156,1185.6337294224777,Alouatta caraya,Black Howling Monkey,Mammalia
plcjay1,186,959.0806500459153,781.9453702930751,1168.6399385847599,136.98834291469132,1728.6433377009762,Cyanocorax chrysops,Plush-crested Jay,Aves
recfin1,126,957.4410735305576,825.3581981419188,1440.6977766514017,40.79749416464107,3067.6566542380924,Coryphospingus cucullatus,Red-crested Finch,Aves
toctou1,148,952.2480097671574,801.1047608529495,1150.0314402793863,40.79749416464107,2694.589483850625,Ramphastos toco,Toco Toucan,Aves
yebcar,27,941.6575820165772,271.13026172026,1589.3696561239753,40.79749416464107,11628.592872144884,Paroaria capitata,Yellow-billed Cardinal,Aves
souant1,159,928.5224392740284,786.8431101945615,1235.6088542923849,356.02322815025474,2486.6139182147367,Corythopis delalandi,Southern Antpipit,Aves
pluibi1,68,910.0028692483435,249.73528954536073,1269.7373277830754,59.07504758790662,1780.3550169814862,Theristicus caerulescens,Plumbeous Ibis,Aves
blchaw1,58,903.0989149851598,375.718930825533,2199.5177218082936,40.79749416464107,5596.359287586942,Busarellus nigricollis,Black-collared Hawk,Aves
ruftof1,98,892.2397437993529,770.9221393985789,1851.3270799764778,40.79749416464107,3077.0847003827184,Poecilotriccus latirostris,Rusty-fronted Tody-Flycatcher,Aves
